Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position
avenie-abstract-rectangles-colorful-duvet-covers,Avenie Abstract Rectangles Colorful Duvet Covers,,DENY Avenie,Duvet Covers,"Avenie Abstract Rectangles Colorful Duvet Covers,Deny Designs,at:abstract-rectangles-colorful,ar:avenie,pc:multi,pc:white,sc:green,sc:red,sc:yellow,sc:white,th:abstract,th:geometric,th:repeat,st:digitalart,landscape-tapestry,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Polyester,Size,Twin,Product,Duvet Cover Only,73955-dwttwi,63049.288,,0,deny,manual,139.0,139.0,TRUE,TRUE,73955-dwttwi,http://assets.denydesigns.com/web-assets/duvet/avenie-abstract-rectangles-colorful-duvet-twinxl-lifestyle-front.jpg,
avenie-abstract-rectangles-colorful-duvet-covers,Avenie Abstract Rectangles Colorful Duvet Covers,,DENY Avenie,Duvet Covers,"Avenie Abstract Rectangles Colorful Duvet Covers,Deny Designs,at:abstract-rectangles-colorful,ar:avenie,pc:multi,pc:white,sc:green,sc:red,sc:yellow,sc:white,th:abstract,th:geometric,th:repeat,st:digitalart,landscape-tapestry,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Polyester,Size,Twin XL,Product,Duvet Cover Only,73955-dwttxl,67585.208,,0,deny,manual,149.0,149.0,TRUE,TRUE,73955-dwttxl,http://assets.denydesigns.com/web-assets/duvet/avenie-abstract-rectangles-colorful-duvet-full-whitebg.jpg,
avenie-abstract-rectangles-colorful-duvet-covers,Avenie Abstract Rectangles Colorful Duvet Covers,,DENY Avenie,Duvet Covers,"Avenie Abstract Rectangles Colorful Duvet Covers,Deny Designs,at:abstract-rectangles-colorful,ar:avenie,pc:multi,pc:white,sc:green,sc:red,sc:yellow,sc:white,th:abstract,th:geometric,th:repeat,st:digitalart,landscape-tapestry,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Polyester,Size,Full,Product,Duvet Cover Only,73955-dwtful,72121.128,,0,deny,manual,159.0,159.0,TRUE,TRUE,73955-dwtful,http://assets.denydesigns.com/web-assets/duvet/avenie-abstract-rectangles-colorful-duvet-full-lifestyle-side.jpg,
avenie-abstract-rectangles-colorful-duvet-covers,Avenie Abstract Rectangles Colorful Duvet Covers,,DENY Avenie,Duvet Covers,"Avenie Abstract Rectangles Colorful Duvet Covers,Deny Designs,at:abstract-rectangles-colorful,ar:avenie,pc:multi,pc:white,sc:green,sc:red,sc:yellow,sc:white,th:abstract,th:geometric,th:repeat,st:digitalart,landscape-tapestry,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Polyester,Size,Queen,Product,Duvet Cover Only,73955-dwtqun,76657.048,,0,deny,manual,169.0,169.0,TRUE,TRUE,73955-dwtqun,http://assets.denydesigns.com/web-assets/duvet/avenie-abstract-rectangles-colorful-duvet-full-lifestyle-front.jpg,
avenie-abstract-rectangles-colorful-duvet-covers,Avenie Abstract Rectangles Colorful Duvet Covers,,DENY Avenie,Duvet Covers,"Avenie Abstract Rectangles Colorful Duvet Covers,Deny Designs,at:abstract-rectangles-colorful,ar:avenie,pc:multi,pc:white,sc:green,sc:red,sc:yellow,sc:white,th:abstract,th:geometric,th:repeat,st:digitalart,landscape-tapestry,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Polyester,Size,King,Product,Duvet Cover Only,73955-dwtkin,85728.888,,0,deny,manual,189.0,189.0,TRUE,TRUE,73955-dwtkin,http://assets.denydesigns.com/web-assets/duvet/avenie-abstract-rectangles-colorful-duvet-queen-whitebg.jpg,
avenie-abstract-rectangles-colorful-duvet-covers,Avenie Abstract Rectangles Colorful Duvet Covers,,DENY Avenie,Duvet Covers,"Avenie Abstract Rectangles Colorful Duvet Covers,Deny Designs,at:abstract-rectangles-colorful,ar:avenie,pc:multi,pc:white,sc:green,sc:red,sc:yellow,sc:white,th:abstract,th:geometric,th:repeat,st:digitalart,landscape-tapestry,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Cotton,Size,Twin,Product,Duvet Cover + Pillow Sham(s),73955-dcttw2,94800.728,,0,deny,manual,209.0,209.0,TRUE,TRUE,73955-dcttw2,http://assets.denydesigns.com/web-assets/duvet/avenie-abstract-rectangles-colorful-duvet-queen-lifestyle-side.jpg,
avenie-abstract-rectangles-colorful-duvet-covers,Avenie Abstract Rectangles Colorful Duvet Covers,,DENY Avenie,Duvet Covers,"Avenie Abstract Rectangles Colorful Duvet Covers,Deny Designs,at:abstract-rectangles-colorful,ar:avenie,pc:multi,pc:white,sc:green,sc:red,sc:yellow,sc:white,th:abstract,th:geometric,th:repeat,st:digitalart,landscape-tapestry,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Cotton,Size,Twin XL,Product,Duvet Cover + Pillow Sham(s),73955-dctwx2,99336.648,,0,deny,manual,219.0,219.0,TRUE,TRUE,73955-dctwx2,http://assets.denydesigns.com/web-assets/duvet/avenie-abstract-rectangles-colorful-duvet-queen-lifestyle-front.jpg,
avenie-abstract-rectangles-colorful-duvet-covers,Avenie Abstract Rectangles Colorful Duvet Covers,,DENY Avenie,Duvet Covers,"Avenie Abstract Rectangles Colorful Duvet Covers,Deny Designs,at:abstract-rectangles-colorful,ar:avenie,pc:multi,pc:white,sc:green,sc:red,sc:yellow,sc:white,th:abstract,th:geometric,th:repeat,st:digitalart,landscape-tapestry,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Cotton,Size,Full,Product,Duvet Cover + Pillow Sham(s),73955-dcful3,112944.408,,0,deny,manual,249.0,249.0,TRUE,TRUE,73955-dcful3,http://assets.denydesigns.com/web-assets/duvet/avenie-abstract-rectangles-colorful-duvet-king-whitebg.jpg,
avenie-abstract-rectangles-colorful-duvet-covers,Avenie Abstract Rectangles Colorful Duvet Covers,,DENY Avenie,Duvet Covers,"Avenie Abstract Rectangles Colorful Duvet Covers,Deny Designs,at:abstract-rectangles-colorful,ar:avenie,pc:multi,pc:white,sc:green,sc:red,sc:yellow,sc:white,th:abstract,th:geometric,th:repeat,st:digitalart,landscape-tapestry,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Cotton,Size,Queen,Product,Duvet Cover + Pillow Sham(s),73955-dctqu3,117480.328,,0,deny,manual,259.0,259.0,TRUE,TRUE,73955-dctqu3,http://assets.denydesigns.com/web-assets/duvet/avenie-abstract-rectangles-colorful-duvet-king-lifestyle-side.jpg,
avenie-abstract-rectangles-colorful-duvet-covers,Avenie Abstract Rectangles Colorful Duvet Covers,,DENY Avenie,Duvet Covers,"Avenie Abstract Rectangles Colorful Duvet Covers,Deny Designs,at:abstract-rectangles-colorful,ar:avenie,pc:multi,pc:white,sc:green,sc:red,sc:yellow,sc:white,th:abstract,th:geometric,th:repeat,st:digitalart,landscape-tapestry,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Cotton,Size,King,Product,Duvet Cover + Pillow Sham(s),73955-dctki3,135624.008,,0,deny,manual,299.0,299.0,TRUE,TRUE,73955-dctki3,http://assets.denydesigns.com/web-assets/duvet/avenie-abstract-rectangles-colorful-duvet-king-lifestyle-front.jpg,
